"","datetime","temp","do","do_sat"
"1007",2024-05-25 12:40:00,8.266,9.321,79.217886
"1008",2024-05-25 12:50:00,8.2,9.311,79.005884
"1009",2024-05-25 13:00:00,8.2,9.305,78.954973
"1010",2024-05-25 13:10:00,8.134,9.308,78.853508
"1011",2024-05-25 13:20:00,8.02,9.317,78.710435
"1012",2024-05-25 13:30:00,8.011,9.329,78.794481
"1013",2024-05-25 13:40:00,8.039,9.325,78.814593
"1014",2024-05-25 13:50:00,8.068,9.337,78.971919
"1015",2024-05-25 14:00:00,8.068,9.313,78.768928
"1016",2024-05-25 14:10:00,8.134,9.33,79.039883
"1017",2024-05-25 14:20:00,8.171,9.313,78.96705
"1018",2024-05-25 14:30:00,8.134,9.309,78.861979
"1019",2024-05-25 14:40:00,8.087,9.34,79.033936
"1020",2024-05-25 14:50:00,8.124,9.344,79.139184
"1021",2024-05-25 15:00:00,8.294,9.352,79.535487
"1022",2024-05-25 15:10:00,8.341,9.317,79.328378
"1023",2024-05-25 15:20:00,8.388,9.314,79.393386
"1024",2024-05-25 15:30:00,8.36,9.322,79.407584
"1025",2024-05-25 15:40:00,8.378,9.326,79.476382
"1026",2024-05-25 15:50:00,8.378,9.328,79.493426
"1027",2024-05-25 16:00:00,8.397,9.333,79.572721
"1028",2024-05-25 16:10:00,8.407,9.328,79.549391
"1029",2024-05-25 16:20:00,8.416,9.338,79.65206
"1030",2024-05-25 16:30:00,8.453,9.322,79.586958
"1031",2024-05-25 16:40:00,8.416,9.326,79.549702
"1032",2024-05-25 16:50:00,8.482,9.322,79.642913
"1033",2024-05-25 17:00:00,8.519,9.315,79.654459
"1034",2024-05-25 17:10:00,8.528,9.328,79.783007
"1035",2024-05-25 17:20:00,8.528,9.322,79.731688
"1036",2024-05-25 17:30:00,8.575,9.325,79.848107
"1037",2024-05-25 17:40:00,8.547,9.342,79.939504
"1038",2024-05-25 17:50:00,8.585,9.323,79.850292
"1039",2024-05-25 18:00:00,8.547,9.349,79.999403
"1040",2024-05-25 18:10:00,8.538,9.343,79.930648
"1041",2024-05-25 18:20:00,8.585,9.323,79.850292
"1042",2024-05-25 18:30:00,8.575,9.332,79.908047
"1043",2024-05-25 18:40:00,8.566,9.333,79.899213
"1044",2024-05-25 18:50:00,8.528,9.339,79.87709
"1045",2024-05-25 19:00:00,8.585,9.33,79.910246
"1046",2024-05-25 19:10:00,8.594,9.338,79.996173
"1047",2024-05-25 19:20:00,8.594,9.339,80.004739
"1048",2024-05-25 19:30:00,8.585,9.344,80.030154
"1049",2024-05-25 19:40:00,8.556,9.327,79.828532
"1050",2024-05-25 19:50:00,8.5,9.344,79.865688
"1051",2024-05-25 20:00:00,8.538,9.338,79.887873
"1052",2024-05-25 20:10:00,8.482,9.344,79.830871
"1053",2024-05-25 20:20:00,8.491,9.343,79.839733
"1054",2024-05-25 20:30:00,8.482,9.34,79.796696
"1055",2024-05-25 20:40:00,8.453,9.347,79.800397
"1056",2024-05-25 20:50:00,8.463,9.329,79.666029
"1057",2024-05-25 21:00:00,8.444,9.344,79.75738
