site,date,depth,temp,,,
 Cottonwood Creek Bay,5/27/20,0,14.02,,,
 Cottonwood Creek Bay,5/27/20,0.5,13.93,,,
 Cottonwood Creek Bay,5/27/20,1,13.84,,,
 Cottonwood Creek Bay,5/27/20,1.5,13.81,,,
 Cottonwood Creek Bay,5/27/20,2,13.73,,,
 Cottonwood Creek Bay,5/27/20,2.5,13.73,,,
 Cottonwood Creek Bay,5/27/20,3,13.69,,,
 Cottonwood Creek Bay,5/27/20,4,13.52,,,
 Cottonwood Creek Bay,5/27/20,5,13.33,,,
 Cottonwood Creek Bay,5/27/20,6,13,,,
 Cottonwood Creek Bay,5/27/20,7,12.69,,,
 Cottonwood Creek Bay,5/27/20,8,12.61,,,
 Cottonwood Creek Bay,5/27/20,9,12.45,,,
 Cottonwood Creek Bay,5/27/20,10,12.25,,,
 Cottonwood Creek Bay,6/24/20,0,21.73,,,
 Cottonwood Creek Bay,6/24/20,0.5,21.73,,,
 Cottonwood Creek Bay,6/24/20,1,20.42,,,
 Cottonwood Creek Bay,6/24/20,1.5,19.32,,,
 Cottonwood Creek Bay,6/24/20,2,18.99,,,
 Cottonwood Creek Bay,6/24/20,2.5,18.81,,,
 Cottonwood Creek Bay,6/24/20,3,18.67,,,
 Cottonwood Creek Bay,6/24/20,4,18.37,,,
 Cottonwood Creek Bay,6/24/20,5,18.04,,,
 Cottonwood Creek Bay,6/24/20,6,17.82,,,
 Cottonwood Creek Bay,6/24/20,7,17.5,,,
 Cottonwood Creek Bay,6/24/20,8,17.14,,,
 Cottonwood Creek Bay,6/24/20,9,17.07,,,
 Cottonwood Creek Bay,6/24/20,10,16.95,,,
 Cottonwood Creek Bay,6/24/20,11,16.94,,,
 Cottonwood Creek Bay,6/24/20,12,16.65,,,
 Cottonwood Creek Bay,7/15/20,0,20.25,,,
 Cottonwood Creek Bay,7/15/20,0.5,20.27,,,
 Cottonwood Creek Bay,7/15/20,1,20.26,,,
 Cottonwood Creek Bay,7/15/20,1.5,20.23,,,
 Cottonwood Creek Bay,7/15/20,2,20.21,,,
 Cottonwood Creek Bay,7/15/20,2.5,20.21,,,
 Cottonwood Creek Bay,7/15/20,3,20.21,,,
 Cottonwood Creek Bay,7/15/20,4,20.19,,,
 Cottonwood Creek Bay,7/15/20,5,20.19,,,
 Cottonwood Creek Bay,7/15/20,6,20.18,,,
 Cottonwood Creek Bay,7/15/20,7,20.18,,,
 Cottonwood Creek Bay,7/15/20,8,20.17,,,
 Cottonwood Creek Bay,7/15/20,9,20.16,,,
 Cottonwood Creek Bay,7/15/20,10,20.15,,,
 Cottonwood Creek Bay,7/15/20,11,19.89,,,
 Cottonwood Creek Bay,7/15/20,12,19.72,,,
 Cottonwood Creek Bay,7/15/20,12.5,19.1,,,
 Cottonwood Creek Bay,8/26/20,0,22.46,,,
 Cottonwood Creek Bay,8/26/20,0.5,22.52,,,
 Cottonwood Creek Bay,8/26/20,1,22.56,,,
 Cottonwood Creek Bay,8/26/20,1.5,22.54,,,
 Cottonwood Creek Bay,8/26/20,2,22.55,,,
 Cottonwood Creek Bay,8/26/20,2.5,22.53,,,
 Cottonwood Creek Bay,8/26/20,3,22.52,,,
 Cottonwood Creek Bay,8/26/20,4,22.49,,,
 Cottonwood Creek Bay,8/26/20,5,22.42,,,
 Cottonwood Creek Bay,8/26/20,6,22.37,,,
 Cottonwood Creek Bay,8/26/20,7,22.25,,,
 Cottonwood Creek Bay,8/26/20,8,22.09,,,
 Cottonwood Creek Bay,8/26/20,9,21.96,,,
 Cottonwood Creek Bay,8/26/20,10,21.71,,,
 Cottonwood Creek Bay,8/26/20,11,21.43,,,
 Cottonwood Creek Bay,8/26/20,12,21.2,,,
 Cottonwood Creek Bay,9/22/20,0,17.23,,,
 Cottonwood Creek Bay,9/22/20,0.5,17.3,,,
 Cottonwood Creek Bay,9/22/20,1,17.27,,,
 Cottonwood Creek Bay,9/22/20,1.5,17.26,,,
 Cottonwood Creek Bay,9/22/20,2,17.3,,,
 Cottonwood Creek Bay,9/22/20,2.5,17.29,,,
 Cottonwood Creek Bay,9/22/20,3,17.28,,,
 Cottonwood Creek Bay,9/22/20,4,17.29,,,
 Cottonwood Creek Bay,9/22/20,5,17.28,,,
 Cottonwood Creek Bay,9/22/20,6,17.28,,,
 Cottonwood Creek Bay,9/22/20,7,17.27,,,
 Cottonwood Creek Bay,9/22/20,8,17.27,,,
 Cottonwood Creek Bay,9/22/20,9,17.24,,,
 Cottonwood Creek Bay,9/22/20,10,17.23,,,
 Cottonwood Creek Bay,9/22/20,11,17.2,,,
 Cottonwood Creek Bay,9/22/20,12,16.87,,,
 Cottonwood Creek Bay,10/13/20,0,14.21,,,
 Cottonwood Creek Bay,10/13/20,0.5,14.25,,,
 Cottonwood Creek Bay,10/13/20,1,14.24,,,
 Cottonwood Creek Bay,10/13/20,1.5,14.24,,,
 Cottonwood Creek Bay,10/13/20,2,14.25,,,
 Cottonwood Creek Bay,10/13/20,2.5,14.24,,,
 Cottonwood Creek Bay,10/13/20,3,14.25,,,
 Cottonwood Creek Bay,10/13/20,4,14.24,,,
 Cottonwood Creek Bay,10/13/20,5,14.22,,,
 Cottonwood Creek Bay,10/13/20,6,14.23,,,
 Cottonwood Creek Bay,10/13/20,7,14.22,,,
 Cottonwood Creek Bay,10/13/20,8,14.21,,,
 Cottonwood Creek Bay,10/13/20,9,14.2,,,
 Cottonwood Creek Bay,10/13/20,10,13.97,,,
 Cottonwood Creek Bay,10/13/20,11,13.89,,,
 Cottonwood Creek Bay,5/18/21,0,14.56,,,
 Cottonwood Creek Bay,5/18/21,0.5,13.78,,,
 Cottonwood Creek Bay,5/18/21,1,13.48,,,
 Cottonwood Creek Bay,5/18/21,1.5,13.3,,,
 Cottonwood Creek Bay,5/18/21,2,13.1,,,
 Cottonwood Creek Bay,5/18/21,2.5,12.6,,,
 Cottonwood Creek Bay,5/18/21,3,12.4,,,
 Cottonwood Creek Bay,5/18/21,4,12,,,
 Cottonwood Creek Bay,5/18/21,5,11.8,,,
 Cottonwood Creek Bay,5/18/21,6,11.35,,,
 Cottonwood Creek Bay,5/18/21,7,11.03,,,
 Cottonwood Creek Bay,5/18/21,8,10.3,,,
 Cottonwood Creek Bay,5/18/21,9,9.8,,,
 Cottonwood Creek Bay,5/18/21,10,9.7,,,
 Cottonwood Creek Bay,5/18/21,11,9.5,,,
 Cottonwood Creek Bay,6/22/21,13.320641,15.92075,,,
 Cottonwood Creek Bay,6/22/21,13.344861,15.91569,,,
 Cottonwood Creek Bay,6/22/21,13.345971,15.91527,,,
 Cottonwood Creek Bay,6/22/21,13.347081,15.91484,,,
 Cottonwood Creek Bay,6/22/21,13.131261,15.90659,,,
 Cottonwood Creek Bay,6/22/21,13.121141,15.90609,,,
 Cottonwood Creek Bay,6/22/21,13.111011,15.90558,,,
 Cottonwood Creek Bay,6/22/21,13.100881,15.90507,,,
 Cottonwood Creek Bay,6/22/21,12.341671,15.89676,,,
 Cottonwood Creek Bay,6/22/21,12.300911,15.89618,,,
 Cottonwood Creek Bay,6/22/21,12.260151,15.89561,,,
 Cottonwood Creek Bay,6/22/21,11.683801,16.18738,,,
 Cottonwood Creek Bay,6/22/21,11.641101,16.20093,,,
 Cottonwood Creek Bay,6/22/21,11.598391,16.21447,,,
 Cottonwood Creek Bay,6/22/21,10.956301,16.54857,,,
 Cottonwood Creek Bay,6/22/21,10.913601,16.57048,,,
 Cottonwood Creek Bay,6/22/21,10.870891,16.59239,,,
 Cottonwood Creek Bay,6/22/21,10.828191,16.6143,,,
 Cottonwood Creek Bay,6/22/21,10.368871,16.72966,,,
 Cottonwood Creek Bay,6/22/21,10.333861,16.74207,,,
 Cottonwood Creek Bay,6/22/21,10.298861,16.75449,,,
 Cottonwood Creek Bay,6/22/21,10.263851,16.76691,,,
 Cottonwood Creek Bay,6/22/21,9.808201,16.77887,,,
 Cottonwood Creek Bay,6/22/21,9.777421,16.78225,,,
 Cottonwood Creek Bay,6/22/21,9.746641,16.78562,,,
 Cottonwood Creek Bay,6/22/21,9.284102,16.87066,,,
 Cottonwood Creek Bay,6/22/21,9.253788,16.87502,,,
 Cottonwood Creek Bay,6/22/21,9.223472,16.87938,,,
 Cottonwood Creek Bay,6/22/21,9.193156,16.88374,,,
 Cottonwood Creek Bay,6/22/21,8.634255,17.05938,,,
 Cottonwood Creek Bay,6/22/21,8.600442,17.06876,,,
 Cottonwood Creek Bay,6/22/21,8.566631,17.07813,,,
 Cottonwood Creek Bay,6/22/21,8.532818,17.0875,,,
 Cottonwood Creek Bay,6/22/21,7.9783,17.28886,,,
 Cottonwood Creek Bay,6/22/21,7.94293,17.30108,,,
 Cottonwood Creek Bay,6/22/21,7.907558,17.3133,,,
 Cottonwood Creek Bay,6/22/21,7.736139,17.40458,,,
 Cottonwood Creek Bay,6/22/21,7.718077,17.41242,,,
 Cottonwood Creek Bay,6/22/21,7.700017,17.42025,,,
 Cottonwood Creek Bay,6/22/21,7.681956,17.42808,,,
 Cottonwood Creek Bay,6/22/21,7.056519,17.51908,,,
 Cottonwood Creek Bay,6/22/21,7.024436,17.52503,,,
 Cottonwood Creek Bay,6/22/21,6.992353,17.53099,,,
 Cottonwood Creek Bay,6/22/21,6.553194,17.63988,,,
 Cottonwood Creek Bay,6/22/21,6.521229,17.64659,,,
 Cottonwood Creek Bay,6/22/21,6.489265,17.65331,,,
 Cottonwood Creek Bay,6/22/21,6.4573,17.66002,,,
 Cottonwood Creek Bay,6/22/21,5.735333,17.87822,,,
 Cottonwood Creek Bay,6/22/21,5.693637,17.89034,,,
 Cottonwood Creek Bay,6/22/21,5.651941,17.90245,,,
 Cottonwood Creek Bay,6/22/21,4.983024,18.06494,,,
 Cottonwood Creek Bay,6/22/21,4.938176,18.07662,,,
 Cottonwood Creek Bay,6/22/21,4.893327,18.08829,,,
 Cottonwood Creek Bay,6/22/21,4.848478,18.09997,,,
 Cottonwood Creek Bay,6/22/21,4.584246,18.22581,,,
 Cottonwood Creek Bay,6/22/21,4.558864,18.23486,,,
 Cottonwood Creek Bay,6/22/21,4.533481,18.24391,,,
 Cottonwood Creek Bay,6/22/21,4.508099,18.25296,,,
 Cottonwood Creek Bay,6/22/21,4.035359,18.29415,,,
 Cottonwood Creek Bay,6/22/21,4.008218,18.29871,,,
 Cottonwood Creek Bay,6/22/21,3.981077,18.30326,,,
 Cottonwood Creek Bay,6/22/21,3.201298,18.38101,,,
 Cottonwood Creek Bay,6/22/21,3.155648,18.38556,,,
 Cottonwood Creek Bay,6/22/21,3.109999,18.39011,,,
 Cottonwood Creek Bay,6/22/21,3.064349,18.39466,,,
 Cottonwood Creek Bay,6/22/21,2.223372,18.92006,,,
 Cottonwood Creek Bay,6/22/21,2.168464,18.94598,,,
 Cottonwood Creek Bay,6/22/21,2.113555,18.97189,,,
 Cottonwood Creek Bay,6/22/21,1.746592,19.26776,,,
 Cottonwood Creek Bay,6/22/21,1.712447,19.29178,,,
 Cottonwood Creek Bay,6/22/21,1.678301,19.3158,,,
 Cottonwood Creek Bay,6/22/21,1.644155,19.33982,,,
 Cottonwood Creek Bay,6/22/21,0.680919,19.41332,,,
 Cottonwood Creek Bay,6/22/21,0.628333,19.4231,,,
 Cottonwood Creek Bay,6/22/21,0.575748,19.43288,,,
 Cottonwood Creek Bay,6/22/21,0.2413443,19.6047,,,
 Cottonwood Creek Bay,6/22/21,0.2066499,19.61442,,,
 Cottonwood Creek Bay,6/22/21,0.1719556,19.62414,,,
 Cottonwood Creek Bay,6/22/21,0.1372612,19.63386,,,
 Cottonwood Creek Bay,6/22/21,0.0132705,19.99312,,,
 Cottonwood Creek Bay,6/22/21,0,20.0131,,,
 Cottonwood Creek Bay,7/21/21,13.578847,17.27932,,,
 Cottonwood Creek Bay,7/21/21,13.579067,17.27922,,,
 Cottonwood Creek Bay,7/21/21,13.497157,17.27728,,,
 Cottonwood Creek Bay,7/21/21,13.493297,17.27723,,,
 Cottonwood Creek Bay,7/21/21,13.489427,17.27718,,,
 Cottonwood Creek Bay,7/21/21,13.485567,17.27713,,,
 Cottonwood Creek Bay,7/21/21,13.204217,17.27071,,,
 Cottonwood Creek Bay,7/21/21,13.189307,17.27037,,,
 Cottonwood Creek Bay,7/21/21,13.174407,17.27003,,,
 Cottonwood Creek Bay,7/21/21,12.635947,17.26982,,,
 Cottonwood Creek Bay,7/21/21,12.605217,17.26969,,,
 Cottonwood Creek Bay,7/21/21,12.574477,17.26955,,,
 Cottonwood Creek Bay,7/21/21,12.543747,17.26941,,,
 Cottonwood Creek Bay,7/21/21,11.960327,17.26296,,,
 Cottonwood Creek Bay,7/21/21,11.922397,17.26265,,,
 Cottonwood Creek Bay,7/21/21,11.884467,17.26234,,,
 Cottonwood Creek Bay,7/21/21,11.387097,17.55858,,,
 Cottonwood Creek Bay,7/21/21,11.351717,17.57269,,,
 Cottonwood Creek Bay,7/21/21,11.316337,17.58681,,,
 Cottonwood Creek Bay,7/21/21,11.087067,18.06035,,,
 Cottonwood Creek Bay,7/21/21,11.066217,18.0889,,,
 Cottonwood Creek Bay,7/21/21,11.045357,18.11745,,,
 Cottonwood Creek Bay,7/21/21,11.024507,18.14601,,,
 Cottonwood Creek Bay,7/21/21,10.553707,18.35644,,,
 Cottonwood Creek Bay,7/21/21,10.526517,18.37602,,,
 Cottonwood Creek Bay,7/21/21,10.499327,18.3956,,,
 Cottonwood Creek Bay,7/21/21,10.020757,18.65843,,,
 Cottonwood Creek Bay,7/21/21,9.988517,18.67521,,,
 Cottonwood Creek Bay,7/21/21,9.956287,18.69198,,,
 Cottonwood Creek Bay,7/21/21,9.924047,18.70876,,,
 Cottonwood Creek Bay,7/21/21,9.651867,19.01641,,,
 Cottonwood Creek Bay,7/21/21,9.629127,19.03637,,,
 Cottonwood Creek Bay,7/21/21,9.606377,19.05633,,,
 Cottonwood Creek Bay,7/21/21,9.053937,19.17774,,,
 Cottonwood Creek Bay,7/21/21,9.022357,19.18964,,,
 Cottonwood Creek Bay,7/21/21,8.990767,19.20153,,,
 Cottonwood Creek Bay,7/21/21,8.959167,19.21342,,,
 Cottonwood Creek Bay,7/21/21,8.333287,19.62521,,,
 Cottonwood Creek Bay,7/21/21,8.292987,19.64702,,,
 Cottonwood Creek Bay,7/21/21,8.252697,19.66883,,,
 Cottonwood Creek Bay,7/21/21,7.743287,19.9515,,,
 Cottonwood Creek Bay,7/21/21,7.706327,19.97326,,,
 Cottonwood Creek Bay,7/21/21,7.669377,19.99503,,,
 Cottonwood Creek Bay,7/21/21,7.352857,20.22762,,,
 Cottonwood Creek Bay,7/21/21,7.327377,20.24447,,,
 Cottonwood Creek Bay,7/21/21,7.301897,20.26132,,,
 Cottonwood Creek Bay,7/21/21,7.276427,20.27818,,,
 Cottonwood Creek Bay,7/21/21,6.649017,21.01443,,,
 Cottonwood Creek Bay,7/21/21,6.612147,21.0547,,,
 Cottonwood Creek Bay,7/21/21,6.575277,21.09497,,,
 Cottonwood Creek Bay,7/21/21,6.003877,21.46334,,,
 Cottonwood Creek Bay,7/21/21,5.963817,21.4958,,,
 Cottonwood Creek Bay,7/21/21,5.923767,21.52827,,,
 Cottonwood Creek Bay,7/21/21,5.883717,21.56073,,,
 Cottonwood Creek Bay,7/21/21,5.547927,21.67657,,,
 Cottonwood Creek Bay,7/21/21,5.520127,21.69003,,,
 Cottonwood Creek Bay,7/21/21,5.492317,21.7035,,,
 Cottonwood Creek Bay,7/21/21,4.897317,21.75473,,,
 Cottonwood Creek Bay,7/21/21,4.861997,21.75983,,,
 Cottonwood Creek Bay,7/21/21,4.826677,21.76494,,,
 Cottonwood Creek Bay,7/21/21,4.177307,21.95481,,,
 Cottonwood Creek Bay,7/21/21,4.133597,21.96529,,,
 Cottonwood Creek Bay,7/21/21,4.089887,21.97578,,,
 Cottonwood Creek Bay,7/21/21,4.046177,21.98626,,,
 Cottonwood Creek Bay,7/21/21,3.787067,22.19333,,,
 Cottonwood Creek Bay,7/21/21,3.760827,22.20727,,,
 Cottonwood Creek Bay,7/21/21,3.734587,22.22121,,,
 Cottonwood Creek Bay,7/21/21,3.166367,22.29184,,,
 Cottonwood Creek Bay,7/21/21,3.133477,22.29943,,,
 Cottonwood Creek Bay,7/21/21,3.100577,22.30702,,,
 Cottonwood Creek Bay,7/21/21,3.067687,22.31461,,,
 Cottonwood Creek Bay,7/21/21,2.363847,22.45094,,,
 Cottonwood Creek Bay,7/21/21,2.318767,22.45899,,,
 Cottonwood Creek Bay,7/21/21,2.273687,22.46704,,,
 Cottonwood Creek Bay,7/21/21,1.601837,22.49324,,,
 Cottonwood Creek Bay,7/21/21,1.555407,22.49729,,,
 Cottonwood Creek Bay,7/21/21,1.508977,22.50133,,,
 Cottonwood Creek Bay,7/21/21,1.462547,22.50537,,,
 Cottonwood Creek Bay,7/21/21,1.193267,22.51069,,,
 Cottonwood Creek Bay,7/21/21,1.166027,22.51162,,,
 Cottonwood Creek Bay,7/21/21,1.138787,22.51254,,,
 Cottonwood Creek Bay,7/21/21,0.583002,22.63792,,,
 Cottonwood Creek Bay,7/21/21,0.550858,22.64396,,,
 Cottonwood Creek Bay,7/21/21,0.518715,22.65001,,,
 Cottonwood Creek Bay,7/21/21,0,22.81218,,,
 Cottonwood Creek Bay,8/11/21,12.672075,19.33376,,,
 Cottonwood Creek Bay,8/11/21,12.660325,19.34759,,,
 Cottonwood Creek Bay,8/11/21,12.659125,19.34663,,,
 Cottonwood Creek Bay,8/11/21,12.416525,19.34524,,,
 Cottonwood Creek Bay,8/11/21,12.393155,19.34573,,,
 Cottonwood Creek Bay,8/11/21,11.722755,19.33393,,,
 Cottonwood Creek Bay,8/11/21,11.150125,19.50377,,,
 Cottonwood Creek Bay,8/11/21,11.072265,19.51984,,,
 Cottonwood Creek Bay,8/11/21,10.782165,19.64637,,,
 Cottonwood Creek Bay,8/11/21,10.734375,19.6647,,,
 Cottonwood Creek Bay,8/11/21,10.237855,19.84418,,,
 Cottonwood Creek Bay,8/11/21,9.673645,20.2103,,,
 Cottonwood Creek Bay,8/11/21,9.602225,20.25193,,,
 Cottonwood Creek Bay,8/11/21,9.287935,20.46838,,,
 Cottonwood Creek Bay,8/11/21,9.237905,20.50233,,,
 Cottonwood Creek Bay,8/11/21,8.612995,20.70161,,,
 Cottonwood Creek Bay,8/11/21,8.090545,20.84425,,,
 Cottonwood Creek Bay,8/11/21,8.018985,20.86469,,,
 Cottonwood Creek Bay,8/11/21,7.730925,20.99629,,,
 Cottonwood Creek Bay,8/11/21,7.685385,21.01365,,,
 Cottonwood Creek Bay,8/11/21,7.151805,21.03822,,,
 Cottonwood Creek Bay,8/11/21,6.666865,21.1041,,,
 Cottonwood Creek Bay,8/11/21,6.601805,21.1112,,,
 Cottonwood Creek Bay,8/11/21,6.357365,21.16457,,,
 Cottonwood Creek Bay,8/11/21,6.317105,21.17201,,,
 Cottonwood Creek Bay,8/11/21,5.800765,21.17454,,,
 Cottonwood Creek Bay,8/11/21,5.267715,21.2055,,,
 Cottonwood Creek Bay,8/11/21,5.198305,21.20856,,,
 Cottonwood Creek Bay,8/11/21,4.929805,21.23508,,,
 Cottonwood Creek Bay,8/11/21,4.885255,21.23875,,,
 Cottonwood Creek Bay,8/11/21,4.333485,21.23919,,,
 Cottonwood Creek Bay,8/11/21,3.711545,21.26284,,,
 Cottonwood Creek Bay,8/11/21,3.632795,21.26514,,,
 Cottonwood Creek Bay,8/11/21,3.330145,21.30748,,,
 Cottonwood Creek Bay,8/11/21,3.279515,21.31239,,,
 Cottonwood Creek Bay,8/11/21,2.751065,21.32272,,,
 Cottonwood Creek Bay,8/11/21,2.132405,21.33578,,,
 Cottonwood Creek Bay,8/11/21,2.054195,21.33734,,,
 Cottonwood Creek Bay,8/11/21,1.748455,21.34424,,,
 Cottonwood Creek Bay,8/11/21,1.697305,21.34535,,,
 Cottonwood Creek Bay,8/11/21,1.100595,21.35421,,,
 Cottonwood Creek Bay,8/11/21,0.480226,21.35508,,,
 Cottonwood Creek Bay,8/11/21,0.399899,21.35545,,,
 Cottonwood Creek Bay,8/11/21,0.054532,21.38221,,,
 Cottonwood Creek Bay,8/11/21,0,21.38478,,,
 Cottonwood Creek Bay,9/15/21,12.914471,19.0403,,,
 Cottonwood Creek Bay,9/15/21,12.921021,19.03614,,,
 Cottonwood Creek Bay,9/15/21,12.927091,18.97822,,,
 Cottonwood Creek Bay,9/15/21,12.928511,18.97191,,,
 Cottonwood Creek Bay,9/15/21,12.314151,18.94578,,,
 Cottonwood Creek Bay,9/15/21,11.779371,19.03239,,,
 Cottonwood Creek Bay,9/15/21,11.706101,19.04026,,,
 Cottonwood Creek Bay,9/15/21,11.454811,19.05893,,,
 Cottonwood Creek Bay,9/15/21,11.412271,19.06408,,,
 Cottonwood Creek Bay,9/15/21,10.904351,19.07729,,,
 Cottonwood Creek Bay,9/15/21,10.465171,19.09733,,,
 Cottonwood Creek Bay,9/15/21,10.404981,19.09977,,,
 Cottonwood Creek Bay,9/15/21,10.154371,19.10853,,,
 Cottonwood Creek Bay,9/15/21,10.115181,19.11008,,,
 Cottonwood Creek Bay,9/15/21,9.644271,19.10857,,,
 Cottonwood Creek Bay,9/15/21,9.203191,19.12386,,,
 Cottonwood Creek Bay,9/15/21,9.144141,19.12531,,,
 Cottonwood Creek Bay,9/15/21,8.900241,19.14628,,,
 Cottonwood Creek Bay,9/15/21,8.861541,19.14887,,,
 Cottonwood Creek Bay,9/15/21,8.353941,19.1408,,,
 Cottonwood Creek Bay,9/15/21,7.899111,19.14137,,,
 Cottonwood Creek Bay,9/15/21,7.837461,19.14111,,,
 Cottonwood Creek Bay,9/15/21,7.593561,19.14777,,,
 Cottonwood Creek Bay,9/15/21,7.554451,19.14844,,,
 Cottonwood Creek Bay,9/15/21,7.087851,19.1459,,,
 Cottonwood Creek Bay,9/15/21,6.650381,19.15336,,,
 Cottonwood Creek Bay,9/15/21,6.592041,19.15399,,,
 Cottonwood Creek Bay,9/15/21,6.336551,19.17403,,,
 Cottonwood Creek Bay,9/15/21,6.297061,19.17624,,,
 Cottonwood Creek Bay,9/15/21,5.710481,19.17241,,,
 Cottonwood Creek Bay,9/15/21,5.276551,19.17764,,,
 Cottonwood Creek Bay,9/15/21,5.214391,19.17799,,,
 Cottonwood Creek Bay,9/15/21,5.020591,19.19313,,,
 Cottonwood Creek Bay,9/15/21,4.987361,19.19477,,,
 Cottonwood Creek Bay,9/15/21,4.524231,19.17735,,,
 Cottonwood Creek Bay,9/15/21,4.128561,19.18073,,,
 Cottonwood Creek Bay,9/15/21,4.074161,19.18045,,,
 Cottonwood Creek Bay,9/15/21,3.910411,19.19183,,,
 Cottonwood Creek Bay,9/15/21,3.881111,19.19309,,,
 Cottonwood Creek Bay,9/15/21,3.537071,19.1906,,,
 Cottonwood Creek Bay,9/15/21,3.215261,19.1773,,,
 Cottonwood Creek Bay,9/15/21,3.172071,19.17587,,,
 Cottonwood Creek Bay,9/15/21,3.022211,19.1851,,,
 Cottonwood Creek Bay,9/15/21,2.996691,19.18549,,,
 Cottonwood Creek Bay,9/15/21,2.683421,19.17365,,,
 Cottonwood Creek Bay,9/15/21,2.365831,19.16761,,,
 Cottonwood Creek Bay,9/15/21,2.324091,19.16659,,,
 Cottonwood Creek Bay,9/15/21,2.122631,19.17766,,,
 Cottonwood Creek Bay,9/15/21,2.092381,19.17851,,,
 Cottonwood Creek Bay,9/15/21,1.680301,19.17537,,,
 Cottonwood Creek Bay,9/15/21,1.289231,19.18197,,,
 Cottonwood Creek Bay,9/15/21,1.237101,19.18249,,,
 Cottonwood Creek Bay,9/15/21,0.949837,19.17825,,,
 Cottonwood Creek Bay,9/15/21,0.908746,19.17809,,,
 Cottonwood Creek Bay,9/15/21,0.474429,19.18649,,,
 Cottonwood Creek Bay,9/15/21,0.05538,19.19109,,,
 Cottonwood Creek Bay,9/15/21,0,19.19184,,,
 Cottonwood Creek Bay,10/5/21,12.111337,16.04826,,,
 Cottonwood Creek Bay,10/5/21,12.137267,16.03748,,,
 Cottonwood Creek Bay,10/5/21,12.147807,16.03739,,,
 Cottonwood Creek Bay,10/5/21,12.055157,15.97045,,,
 Cottonwood Creek Bay,10/5/21,12.046677,15.96363,,,
 Cottonwood Creek Bay,10/5/21,11.637757,15.97046,,,
 Cottonwood Creek Bay,10/5/21,11.447287,16.03374,,,
 Cottonwood Creek Bay,10/5/21,11.415037,16.04035,,,
 Cottonwood Creek Bay,10/5/21,11.101127,16.08398,,,
 Cottonwood Creek Bay,10/5/21,11.064937,16.09054,,,
 Cottonwood Creek Bay,10/5/21,10.731417,16.11077,,,
 Cottonwood Creek Bay,10/5/21,10.570077,16.12911,,,
 Cottonwood Creek Bay,10/5/21,10.543967,16.13152,,,
 Cottonwood Creek Bay,10/5/21,10.217367,16.13493,,,
 Cottonwood Creek Bay,10/5/21,10.181107,16.13587,,,
 Cottonwood Creek Bay,10/5/21,9.844937,16.13736,,,
 Cottonwood Creek Bay,10/5/21,9.678247,16.14829,,,
 Cottonwood Creek Bay,10/5/21,9.651187,16.14942,,,
 Cottonwood Creek Bay,10/5/21,9.339167,16.13492,,,
 Cottonwood Creek Bay,10/5/21,9.303957,16.13394,,,
 Cottonwood Creek Bay,10/5/21,9.268737,16.13296,,,
 Cottonwood Creek Bay,10/5/21,9.233527,16.13198,,,
 Cottonwood Creek Bay,10/5/21,9.198307,16.131,,,
 Cottonwood Creek Bay,10/5/21,8.186917,16.15233,,,
 Cottonwood Creek Bay,10/5/21,8.097247,16.15321,,,
 Cottonwood Creek Bay,10/5/21,8.191247,16.14199,,,
 Cottonwood Creek Bay,10/5/21,7.734137,16.13173,,,
 Cottonwood Creek Bay,10/5/21,7.690837,16.13073,,,
 Cottonwood Creek Bay,10/5/21,7.320657,16.17538,,,
 Cottonwood Creek Bay,10/5/21,7.271457,16.17936,,,
 Cottonwood Creek Bay,10/5/21,7.110457,16.19801,,,
 Cottonwood Creek Bay,10/5/21,6.699247,16.20695,,,
 Cottonwood Creek Bay,10/5/21,6.653857,16.20835,,,
 Cottonwood Creek Bay,10/5/21,6.288907,16.21275,,,
 Cottonwood Creek Bay,10/5/21,6.239097,16.21345,,,
 Cottonwood Creek Bay,10/5/21,6.033437,16.22257,,,
 Cottonwood Creek Bay,10/5/21,5.691987,16.24225,,,
 Cottonwood Creek Bay,10/5/21,5.651957,16.24449,,,
 Cottonwood Creek Bay,10/5/21,5.296407,16.23558,,,
 Cottonwood Creek Bay,10/5/21,5.250207,16.23545,,,
 Cottonwood Creek Bay,10/5/21,5.072247,16.24979,,,
 Cottonwood Creek Bay,10/5/21,4.681177,16.24265,,,
 Cottonwood Creek Bay,10/5/21,4.637227,16.24245,,,
 Cottonwood Creek Bay,10/5/21,4.330817,16.24896,,,
 Cottonwood Creek Bay,10/5/21,4.287367,16.24929,,,
 Cottonwood Creek Bay,10/5/21,4.078117,16.25747,,,
 Cottonwood Creek Bay,10/5/21,3.750217,16.25369,,,
 Cottonwood Creek Bay,10/5/21,3.711477,16.25357,,,
 Cottonwood Creek Bay,10/5/21,3.351007,16.27062,,,
 Cottonwood Creek Bay,10/5/21,3.304967,16.27209,,,
 Cottonwood Creek Bay,10/5/21,3.127297,16.25869,,,
 Cottonwood Creek Bay,10/5/21,2.785967,16.27001,,,
 Cottonwood Creek Bay,10/5/21,2.746957,16.27063,,,
 Cottonwood Creek Bay,10/5/21,2.364737,16.2807,,,
 Cottonwood Creek Bay,10/5/21,2.316117,16.28211,,,
 Cottonwood Creek Bay,10/5/21,2.122947,16.26688,,,
 Cottonwood Creek Bay,10/5/21,1.787117,16.25205,,,
 Cottonwood Creek Bay,10/5/21,1.748207,16.25006,,,
 Cottonwood Creek Bay,10/5/21,1.331107,16.25178,,,
